Date,Open,High,Low,Close,Volume
2-Dec-16,56.65,57.75,56.57,57.21,16869957
1-Dec-16,57.34,58.52,57.20,58.51,12381607
30-Nov-16,58.19,58.25,57.86,57.97,9527959
29-Nov-16,57.64,58.21,57.50,58.17,10582850
28-Nov-16,57.00,57.86,56.76,57.59,8750925
25-Nov-16,57.70,57.70,57.26,57.43,3228848
23-Nov-16,56.91,57.64,56.90,57.59,8183628
22-Nov-16,56.32,57.15,55.88,57.12,10268720
21-Nov-16,55.51,56.16,55.51,56.10,8004000
18-Nov-16,55.72,56.12,55.42,55.77,8740953
17-Nov-16,55.22,55.90,55.06,55.85,8717249
16-Nov-16,54.33,55.52,54.26,55.44,10779155
15-Nov-16,54.09,54.69,53.90,54.59,9588036
14-Nov-16,53.93,54.47,53.50,54.22,10489826
11-Nov-16,53.43,53.99,53.25,53.93,8436435
10-Nov-16,54.64,54.82,53.51,53.57,13621701
9-Nov-16,53.20,54.82,52.80,54.58,13727777
8-Nov-16,54.40,54.79,54.12,54.62,9351994
7-Nov-16,53.50,54.68,53.19,54.49,14916848
4-Nov-16,51.43,53.74,50.84,52.75,21956848
3-Nov-16,52.99,53.00,51.34,51.77,21847292
2-Nov-16,52.34,53.46,52.31,52.98,10851658
1-Nov-16,53.14,53.21,52.08,52.50,15425819
31-Oct-16,53.70,53.70,53.06,53.07,9142509
28-Oct-16,53.65,53.84,53.11,53.53,6620333
27-Oct-16,53.60,53.83,53.13,53.59,7899957
26-Oct-16,53.60,53.84,53.36,53.63,5817798
25-Oct-16,54.10,54.17,53.50,53.67,6052830
24-Oct-16,53.90,54.46,53.89,54.18,6919714
21-Oct-16,53.42,53.70,53.25,53.63,6767204
20-Oct-16,53.36,53.74,52.91,53.59,9286800
19-Oct-16,52.91,53.74,52.90,53.15,9095261
18-Oct-16,53.24,53.32,52.59,52.61,6550399
17-Oct-16,52.94,53.14,52.69,52.76,5223526
14-Oct-16,53.12,53.37,52.96,53.08,6430136
13-Oct-16,52.88,53.13,52.67,52.95,6958128
12-Oct-16,53.01,53.47,52.78,53.16,6320462
11-Oct-16,53.13,53.40,52.74,52.92,9720407
10-Oct-16,53.53,53.60,53.27,53.30,7224335
7-Oct-16,53.37,53.60,53.00,53.46,7279723
6-Oct-16,53.30,53.48,53.03,53.14,6130270
5-Oct-16,53.50,53.76,53.28,53.35,7451916
4-Oct-16,54.13,54.13,53.41,53.53,6176358
3-Oct-16,54.10,54.15,53.66,53.84,5479037
30-Sep-16,53.65,54.38,53.56,54.14,13767754
29-Sep-16,53.88,54.00,52.91,53.45,11993517
28-Sep-16,53.88,54.08,53.53,53.98,8593496
27-Sep-16,54.00,54.21,53.82,54.19,6463747
26-Sep-16,54.28,54.34,53.86,54.04,7755629
23-Sep-16,54.00,54.56,54.00,54.43,6945147
22-Sep-16,54.20,54.60,53.96,54.39,9096709
21-Sep-16,53.43,54.03,53.28,53.98,9213637
20-Sep-16,53.40,53.44,53.05,53.30,8731499
19-Sep-16,53.96,53.97,52.90,53.01,9231628
16-Sep-16,53.94,54.09,53.41,53.74,10207750
15-Sep-16,53.96,54.13,53.54,54.11,8080426
14-Sep-16,54.26,54.35,53.80,53.90,6707850
13-Sep-16,54.39,54.55,53.75,53.98,10050215
12-Sep-16,53.92,54.79,53.92,54.71,11002544
9-Sep-16,55.14,55.20,54.30,54.35,10658120
8-Sep-16,56.10,56.15,55.20,55.30,12673626
7-Sep-16,56.19,56.60,56.12,56.32,11428644
6-Sep-16,56.18,56.42,55.69,56.02,6472907
2-Sep-16,56.52,56.65,55.98,56.18,7441463
1-Sep-16,56.30,56.56,55.83,56.31,6230148
31-Aug-16,56.31,56.42,55.90,56.23,6996894
30-Aug-16,56.66,56.75,56.01,56.40,6377668
29-Aug-16,57.22,57.48,56.61,56.80,7026700
26-Aug-16,57.48,57.83,57.00,57.29,6940511
25-Aug-16,57.04,57.45,56.90,57.29,6686589
24-Aug-16,57.00,57.98,56.95,57.09,13200460
23-Aug-16,56.17,56.54,56.00,56.40,7827873
22-Aug-16,54.98,55.92,54.95,55.85,8837808
19-Aug-16,55.46,55.56,54.85,54.94,8981214
18-Aug-16,55.78,55.90,55.49,55.53,5390990
17-Aug-16,55.77,55.92,55.43,55.80,7410631
16-Aug-16,55.25,55.57,54.92,55.37,5751178
15-Aug-16,55.65,55.70,55.18,55.25,5968728
12-Aug-16,55.27,55.74,55.23,55.47,5039757
11-Aug-16,55.75,55.96,55.46,55.47,6191412
10-Aug-16,55.37,55.71,55.11,55.62,6991077
9-Aug-16,55.39,55.71,55.18,55.20,7136683
8-Aug-16,55.97,55.99,55.17,55.36,9129307
5-Aug-16,55.80,56.12,55.52,55.90,9206197
4-Aug-16,56.05,56.29,55.38,55.42,11193748
3-Aug-16,56.46,56.59,55.72,55.94,11484792
2-Aug-16,57.25,57.34,56.54,56.73,7574622
1-Aug-16,58.00,58.05,57.43,57.63,7997576
29-Jul-16,58.18,58.43,57.92,58.05,6914907
28-Jul-16,57.88,58.31,57.74,58.21,6830059
27-Jul-16,58.38,58.40,57.67,57.85,6551777
26-Jul-16,58.58,58.84,58.20,58.31,10106663
25-Jul-16,57.72,58.09,57.50,57.95,10486019
22-Jul-16,57.60,58.24,57.20,57.90,23899275
21-Jul-16,57.62,57.67,57.04,57.60,16151699
20-Jul-16,57.00,57.66,56.70,57.54,9446396
19-Jul-16,56.85,57.14,56.54,56.76,8719772
18-Jul-16,57.59,57.59,56.85,56.92,7614635
15-Jul-16,57.69,57.74,57.12,57.41,8494000
14-Jul-16,57.00,57.68,56.97,57.59,11353599
13-Jul-16,56.80,57.26,56.35,56.48,12183638
12-Jul-16,56.65,57.60,56.50,57.48,10998486
11-Jul-16,56.80,56.92,56.06,56.32,10394366
8-Jul-16,56.92,57.00,56.36,56.51,12655500
7-Jul-16,56.66,57.00,56.47,56.91,6813347
6-Jul-16,56.52,57.11,56.32,56.75,8474188
5-Jul-16,56.81,56.96,56.55,56.77,7274208
1-Jul-16,57.04,57.36,56.84,56.99,8330308
30-Jun-16,56.81,57.19,56.52,57.12,10215193
29-Jun-16,55.42,56.94,55.36,56.74,11103787
28-Jun-16,54.10,54.90,53.95,54.85,8416950
27-Jun-16,54.20,54.48,53.41,53.69,11650798
24-Jun-16,54.05,55.57,54.01,54.68,14654672
23-Jun-16,55.98,56.20,55.90,56.13,5569431
22-Jun-16,55.88,55.98,55.49,55.61,7215411
21-Jun-16,55.52,56.03,55.45,55.81,7445109
20-Jun-16,55.77,56.28,55.38,55.38,7286681
17-Jun-16,55.61,55.62,55.04,55.31,9503017
16-Jun-16,54.90,55.59,54.41,55.53,7968033
15-Jun-16,55.64,56.09,55.27,55.35,7447317
14-Jun-16,55.05,55.58,55.01,55.57,8036517
13-Jun-16,54.79,55.60,54.76,55.04,7928722
10-Jun-16,54.92,55.20,54.50,54.86,8118651
9-Jun-16,55.15,55.61,55.06,55.58,5927854
8-Jun-16,55.50,55.50,54.90,55.22,7623851
7-Jun-16,55.65,56.10,55.28,55.30,7173072
6-Jun-16,54.72,55.87,54.69,55.59,9900917
3-Jun-16,54.71,55.08,54.40,54.61,6649224
2-Jun-16,54.90,55.00,54.46,54.62,8307488
1-Jun-16,54.76,55.49,54.72,54.82,8761577
31-May-16,55.50,55.50,54.70,54.89,12043976
27-May-16,55.36,55.55,55.10,55.15,6629329
26-May-16,55.55,55.87,54.95,55.29,9438963
25-May-16,55.20,55.46,54.95,55.15,8115476
24-May-16,54.74,55.62,54.68,55.44,7745602
