Date,Open,High,Low,Close,Volume
2-Dec-16,4.53,4.60,4.22,4.30,93331520
1-Dec-16,4.57,4.61,4.51,4.56,30968272
30-Nov-16,4.62,4.65,4.56,4.57,31387372
29-Nov-16,4.56,4.63,4.55,4.61,36473120
28-Nov-16,4.58,4.61,4.54,4.54,21318391
25-Nov-16,4.59,4.63,4.58,4.60,10666387
23-Nov-16,4.63,4.65,4.59,4.59,17718165
22-Nov-16,4.58,4.65,4.54,4.61,30531942
21-Nov-16,4.56,4.59,4.55,4.57,30447202
18-Nov-16,4.56,4.62,4.56,4.56,17834051
17-Nov-16,4.51,4.59,4.50,4.58,21795042
16-Nov-16,4.57,4.58,4.51,4.52,44046769
15-Nov-16,4.49,4.60,4.44,4.58,79195732
14-Nov-16,4.36,4.56,4.36,4.48,77276695
11-Nov-16,4.28,4.38,4.27,4.36,47189775
10-Nov-16,4.30,4.37,4.28,4.31,63629886
9-Nov-16,4.14,4.33,4.13,4.29,65588628
8-Nov-16,4.21,4.29,4.21,4.27,49969477
7-Nov-16,4.16,4.22,4.15,4.22,38840633
4-Nov-16,4.12,4.18,4.11,4.14,46380682
3-Nov-16,4.14,4.16,4.12,4.13,47261052
2-Nov-16,4.16,4.18,4.12,4.13,43124291
1-Nov-16,4.18,4.19,4.14,4.16,52575240
31-Oct-16,4.11,4.17,4.10,4.17,51452568
28-Oct-16,4.09,4.15,4.09,4.11,75986924
27-Oct-16,4.27,4.27,4.07,4.11,109802687
26-Oct-16,4.19,4.25,4.17,4.24,64212600
25-Oct-16,4.16,4.19,4.15,4.19,36836752
24-Oct-16,4.16,4.19,4.15,4.18,57320990
21-Oct-16,4.13,4.15,4.11,4.15,26274257
20-Oct-16,4.14,4.16,4.12,4.13,46044341
19-Oct-16,4.10,4.15,4.10,4.14,34371897
18-Oct-16,4.12,4.14,4.10,4.10,33193233
17-Oct-16,4.11,4.13,4.08,4.11,52503335
14-Oct-16,4.11,4.14,4.10,4.11,45339431
13-Oct-16,4.09,4.11,4.05,4.10,43000790
12-Oct-16,4.09,4.11,4.07,4.10,42036584
11-Oct-16,4.14,4.14,4.07,4.08,44560786
10-Oct-16,4.16,4.18,4.13,4.14,32851648
7-Oct-16,4.17,4.17,4.12,4.16,40665724
6-Oct-16,4.16,4.17,4.14,4.16,31686421
5-Oct-16,4.18,4.19,4.16,4.16,30974279
4-Oct-16,4.20,4.22,4.15,4.18,44344745
3-Oct-16,4.17,4.21,4.17,4.19,47291995
30-Sep-16,4.17,4.19,4.15,4.17,37873541
29-Sep-16,4.16,4.20,4.14,4.14,46136226
28-Sep-16,4.16,4.18,4.15,4.16,45448302
27-Sep-16,4.16,4.19,4.15,4.16,22051566
26-Sep-16,4.18,4.19,4.15,4.16,44585115
23-Sep-16,4.20,4.22,4.18,4.20,43030687
22-Sep-16,4.19,4.22,4.18,4.20,49313756
21-Sep-16,4.13,4.19,4.12,4.18,51731957
20-Sep-16,4.14,4.16,4.11,4.13,40210705
19-Sep-16,4.12,4.17,4.11,4.14,52422944
16-Sep-16,4.15,4.15,4.10,4.11,59261356
15-Sep-16,4.09,4.17,4.07,4.16,56750773
14-Sep-16,4.09,4.12,4.07,4.09,49752500
13-Sep-16,4.12,4.15,4.07,4.09,63960409
12-Sep-16,4.09,4.16,4.07,4.14,47750998
9-Sep-16,4.19,4.20,4.10,4.10,55138577
8-Sep-16,4.17,4.21,4.15,4.20,44900598
7-Sep-16,4.16,4.19,4.15,4.18,59805485
6-Sep-16,4.17,4.18,4.14,4.16,64786749
2-Sep-16,4.18,4.19,4.15,4.18,57129628
1-Sep-16,4.16,4.19,4.12,4.15,59516384
31-Aug-16,4.17,4.18,4.12,4.14,40136220
30-Aug-16,4.18,4.19,4.15,4.16,44488099
29-Aug-16,4.17,4.20,4.15,4.16,63129638
26-Aug-16,4.19,4.20,4.11,4.16,68545484
25-Aug-16,4.13,4.20,4.12,4.15,64344034
24-Aug-16,4.20,4.20,4.12,4.14,49723982
23-Aug-16,4.19,4.22,4.17,4.19,58757982
22-Aug-16,4.17,4.20,4.15,4.17,53188981
19-Aug-16,4.17,4.20,4.15,4.19,39233803
18-Aug-16,4.24,4.25,4.17,4.19,52287868
17-Aug-16,4.21,4.24,4.19,4.24,48104037
16-Aug-16,4.22,4.24,4.20,4.20,54071154
15-Aug-16,4.22,4.26,4.21,4.24,35726585
12-Aug-16,4.22,4.25,4.20,4.20,17488012
11-Aug-16,4.22,4.28,4.21,4.23,25016349
10-Aug-16,4.19,4.23,4.18,4.21,23944941
9-Aug-16,4.23,4.24,4.18,4.19,46236009
8-Aug-16,4.25,4.26,4.17,4.22,51230418
5-Aug-16,4.25,4.29,4.22,4.24,87020552
4-Aug-16,4.23,4.28,4.20,4.23,68734132
3-Aug-16,4.22,4.27,4.21,4.23,63001118
2-Aug-16,4.32,4.32,4.20,4.23,88283537
1-Aug-16,4.39,4.40,4.33,4.34,60966649
29-Jul-16,4.34,4.44,4.34,4.39,50087441
28-Jul-16,4.39,4.42,4.32,4.36,55096032
27-Jul-16,4.34,4.43,4.32,4.40,61113350
26-Jul-16,4.28,4.41,4.20,4.35,136526573
25-Jul-16,4.21,4.23,4.13,4.15,60544510
22-Jul-16,4.17,4.22,4.15,4.21,31966093
21-Jul-16,4.17,4.20,4.16,4.16,39750923
20-Jul-16,4.17,4.20,4.14,4.18,42948133
19-Jul-16,4.16,4.19,4.14,4.17,51727130
18-Jul-16,4.15,4.19,4.14,4.17,43133659
15-Jul-16,4.16,4.16,4.12,4.16,41015632
14-Jul-16,4.11,4.16,4.10,4.14,45735822
13-Jul-16,4.10,4.12,4.07,4.09,49663603
12-Jul-16,4.14,4.17,4.09,4.10,60077581
11-Jul-16,4.13,4.16,4.10,4.14,53374242
8-Jul-16,4.05,4.13,4.04,4.12,68799572
7-Jul-16,4.00,4.06,3.99,4.03,86291181
6-Jul-16,3.93,4.00,3.92,3.99,59320372
5-Jul-16,3.96,3.96,3.92,3.94,60213006
1-Jul-16,3.95,4.01,3.94,3.97,55401835
30-Jun-16,3.93,3.98,3.91,3.95,44080463
29-Jun-16,3.87,3.94,3.86,3.92,47483821
28-Jun-16,3.81,3.85,3.79,3.83,61772683
27-Jun-16,3.85,3.87,3.74,3.76,93624388
24-Jun-16,3.89,3.98,3.86,3.88,104860342
23-Jun-16,3.97,4.01,3.95,4.00,51563684
22-Jun-16,3.98,3.99,3.93,3.96,49253119
21-Jun-16,3.97,3.98,3.94,3.98,41603030
20-Jun-16,3.94,3.99,3.94,3.98,40272847
17-Jun-16,3.95,3.97,3.91,3.92,56275618
16-Jun-16,3.90,3.95,3.87,3.94,52423675
15-Jun-16,3.91,3.96,3.90,3.91,56474660
14-Jun-16,3.90,3.94,3.88,3.91,34914376
13-Jun-16,3.91,3.95,3.90,3.90,37399660
10-Jun-16,3.96,3.98,3.92,3.92,41811948
9-Jun-16,3.97,3.99,3.95,3.98,22327596
8-Jun-16,3.99,4.01,3.97,3.98,18786511
7-Jun-16,4.00,4.02,3.97,3.99,21537205
6-Jun-16,4.00,4.03,3.99,3.99,21271234
3-Jun-16,4.01,4.02,3.97,4.00,27937430
2-Jun-16,4.01,4.04,3.99,4.01,17620052
1-Jun-16,4.00,4.02,3.97,4.02,40332372
31-May-16,3.96,4.02,3.96,4.02,34802504
27-May-16,3.98,4.00,3.95,3.96,22310911
26-May-16,4.00,4.02,3.96,3.98,24766604
25-May-16,3.95,4.00,3.95,4.00,37282156
24-May-16,3.91,3.98,3.91,3.96,35125743
23-May-16,3.92,3.95,3.91,3.91,23250623
20-May-16,3.91,3.95,3.90,3.94,40996889
19-May-16,3.87,3.92,3.86,3.91,31037748
18-May-16,3.89,3.90,3.85,3.89,19237397
17-May-16,3.91,3.92,3.88,3.89,29081163
16-May-16,3.90,3.93,3.88,3.91,23407594
13-May-16,3.91,3.95,3.89,3.89,23655187
12-May-16,3.94,3.95,3.90,3.91,23906965
11-May-16,3.96,3.98,3.93,3.93,13513037
10-May-16,3.93,3.98,3.91,3.98,24581726
9-May-16,3.92,3.95,3.91,3.93,21671374
6-May-16,3.86,3.94,3.86,3.93,28243526
5-May-16,3.89,3.93,3.88,3.88,19066266
4-May-16,3.94,3.95,3.87,3.88,45230539
3-May-16,3.97,3.99,3.92,3.95,34182936
2-May-16,3.97,3.99,3.93,3.97,29049195
29-Apr-16,3.91,3.96,3.89,3.95,39226472
28-Apr-16,4.02,4.05,3.92,3.92,54332127
27-Apr-16,3.98,4.01,3.96,3.98,30256267
26-Apr-16,3.97,4.00,3.96,3.97,18693298
25-Apr-16,3.95,3.98,3.93,3.97,23781802
22-Apr-16,3.95,4.01,3.95,3.96,57093293
21-Apr-16,3.95,3.97,3.92,3.94,40352245
20-Apr-16,3.93,3.97,3.92,3.93,33813614
19-Apr-16,3.85,3.93,3.84,3.92,59773395
18-Apr-16,3.89,3.93,3.82,3.85,61664702
15-Apr-16,3.92,3.93,3.88,3.90,26287513
14-Apr-16,3.91,3.94,3.88,3.89,37859283
13-Apr-16,3.87,3.94,3.86,3.92,58508388
12-Apr-16,3.81,3.89,3.80,3.86,51345523
11-Apr-16,3.83,3.87,3.81,3.81,60984011
8-Apr-16,3.85,3.87,3.79,3.85,56270375
7-Apr-16,3.93,3.94,3.79,3.82,75954850
6-Apr-16,3.87,3.93,3.86,3.92,41449359
5-Apr-16,3.88,3.89,3.83,3.87,44163313
4-Apr-16,3.95,3.96,3.90,3.90,21317614
1-Apr-16,3.95,4.00,3.93,3.96,56991210
31-Mar-16,3.95,3.97,3.93,3.95,24555825
30-Mar-16,3.94,3.96,3.91,3.96,28490787
29-Mar-16,3.91,3.95,3.90,3.94,22551934
28-Mar-16,3.88,3.94,3.87,3.91,16803122
24-Mar-16,3.86,3.89,3.84,3.87,21310491
23-Mar-16,3.92,3.92,3.84,3.86,26493314
22-Mar-16,3.89,3.93,3.88,3.92,33102396
21-Mar-16,3.93,3.97,3.89,3.91,29012422
18-Mar-16,3.96,3.97,3.91,3.95,32072726
17-Mar-16,3.93,3.97,3.92,3.94,23687148
16-Mar-16,3.87,3.95,3.86,3.95,29691421
15-Mar-16,3.89,3.92,3.86,3.90,21278029
14-Mar-16,3.89,3.94,3.87,3.92,33629285
11-Mar-16,3.90,3.93,3.88,3.91,53603579
10-Mar-16,3.96,3.97,3.83,3.88,47147462
9-Mar-16,3.90,3.97,3.89,3.95,29298442
8-Mar-16,3.87,3.92,3.86,3.88,36426250
7-Mar-16,3.88,3.97,3.86,3.90,50987859
4-Mar-16,3.89,3.94,3.87,3.91,34816633
3-Mar-16,3.83,3.90,3.82,3.87,27899965
2-Mar-16,3.78,3.82,3.74,3.82,40087901
1-Mar-16,3.74,3.78,3.72,3.76,47569107
29-Feb-16,3.68,3.75,3.68,3.72,51660226
26-Feb-16,3.71,3.74,3.67,3.69,41422384
25-Feb-16,3.61,3.71,3.61,3.69,31077006
24-Feb-16,3.57,3.64,3.54,3.60,41069505
23-Feb-16,3.67,3.70,3.60,3.61,36093589
